id,text,source_system_name,source_table_name,source_field_name,source_field_desc,sap_table_name,sap_field_name,sap_field_desc
mapping_D:\antigravity\TIC\EXCEL\091_IFZ9000120(管理番号10126)_インタフェース項目定義書_国内出荷指示送信データ（積送）_R0.81.xlsx_10_forward,[source_system:部品SAP] [source_table:MATDOC] [source_field:WERKS] [source_description:プラント],部品SAP,MATDOC,WERKS,プラント,RJ071,BTKU,得意先コード
mapping_D:\antigravity\TIC\EXCEL\091_IFZ9000120(管理番号10126)_インタフェース項目定義書_国内出荷指示送信データ（積送）_R0.81.xlsx_10_backward,[source_system:倉庫システム] [source_table:RJ071] [source_field:BTKU] [source_description:得意先コード],倉庫システム,RJ071,BTKU,得意先コード,MATDOC,WERKS,プラント
mapping_D:\antigravity\TIC\EXCEL\091_IFZ9000120(管理番号10126)_インタフェース項目定義書_国内出荷指示送信データ（積送）_R0.81.xlsx_12_forward,[source_system:部品SAP] [source_table:MATDOC] [source_field:BLDAT] [source_description:伝票の伝票日付],部品SAP,MATDOC,BLDAT,伝票の伝票日付,RJ071,DUKEYMD,受付日
mapping_D:\antigravity\TIC\EXCEL\091_IFZ9000120(管理番号10126)_インタフェース項目定義書_国内出荷指示送信データ（積送）_R0.81.xlsx_12_backward,[source_system:倉庫システム] [source_table:RJ071] [source_field:DUKEYMD] [source_description:受付日],倉庫システム,RJ071,DUKEYMD,受付日,MATDOC,BLDAT,伝票の伝票日付
mapping_D:\antigravity\TIC\EXCEL\091_IFZ9000120(管理番号10126)_インタフェース項目定義書_国内出荷指示送信データ（積送）_R0.81.xlsx_14_forward,[source_system:部品SAP] [source_table:KNA1] [source_field:REGIO] [source_description:地域 (都道府県)],部品SAP,KNA1,REGIO,地域 (都道府県),RJ071,BFUK,府県コード
mapping_D:\antigravity\TIC\EXCEL\091_IFZ9000120(管理番号10126)_インタフェース項目定義書_国内出荷指示送信データ（積送）_R0.81.xlsx_14_backward,[source_system:倉庫システム] [source_table:RJ071] [source_field:BFUK] [source_description:府県コード],倉庫システム,RJ071,BFUK,府県コード,KNA1,REGIO,地域 (都道府県)
mapping_D:\antigravity\TIC\EXCEL\091_IFZ9000120(管理番号10126)_インタフェース項目定義書_国内出荷指示送信データ（積送）_R0.81.xlsx_15_forward,[source_system:部品SAP] [source_table:MATDOC] [source_field:WERKS] [source_description:プラント],部品SAP,MATDOC,WERKS,プラント,RJ071,BNOS,納所コード
mapping_D:\antigravity\TIC\EXCEL\091_IFZ9000120(管理番号10126)_インタフェース項目定義書_国内出荷指示送信データ（積送）_R0.81.xlsx_15_backward,[source_system:倉庫システム] [source_table:RJ071] [source_field:BNOS] [source_description:納所コード],倉庫システム,RJ071,BNOS,納所コード,MATDOC,WERKS,プラント
mapping_D:\antigravity\TIC\EXCEL\091_IFZ9000120(管理番号10126)_インタフェース項目定義書_国内出荷指示送信データ（積送）_R0.81.xlsx_16_forward,"[source_system:部品SAP] [source_table:ADRC
ADRC] [source_field:NAME1
NAME2] [source_description:名称1＋名称2
(国際バージョン：カナ)]",部品SAP,"ADRC
ADRC","NAME1
NAME2","名称1＋名称2
(国際バージョン：カナ)",RJ071,NNOS,納所名
mapping_D:\antigravity\TIC\EXCEL\091_IFZ9000120(管理番号10126)_インタフェース項目定義書_国内出荷指示送信データ（積送）_R0.81.xlsx_16_backward,[source_system:倉庫システム] [source_table:RJ071] [source_field:NNOS] [source_description:納所名],倉庫システム,RJ071,NNOS,納所名,"ADRC
ADRC","NAME1
NAME2","名称1＋名称2
(国際バージョン：カナ)"
mapping_D:\antigravity\TIC\EXCEL\091_IFZ9000120(管理番号10126)_インタフェース項目定義書_国内出荷指示送信データ（積送）_R0.81.xlsx_17_forward,"[source_system:部品SAP] [source_table:ADRC
ADRC] [source_field:CITY1
STREET] [source_description:都道府県＋市区町村
(国際バージョン：カナ)]",部品SAP,"ADRC
ADRC","CITY1
STREET","都道府県＋市区町村
(国際バージョン：カナ)",RJ071,JNOS,納所住所
mapping_D:\antigravity\TIC\EXCEL\091_IFZ9000120(管理番号10126)_インタフェース項目定義書_国内出荷指示送信データ（積送）_R0.81.xlsx_17_backward,[source_system:倉庫システム] [source_table:RJ071] [source_field:JNOS] [source_description:納所住所],倉庫システム,RJ071,JNOS,納所住所,"ADRC
ADRC","CITY1
STREET","都道府県＋市区町村
(国際バージョン：カナ)"
mapping_D:\antigravity\TIC\EXCEL\091_IFZ9000120(管理番号10126)_インタフェース項目定義書_国内出荷指示送信データ（積送）_R0.81.xlsx_23_forward,"[source_system:部品SAP] [source_table:ADRC
ADRC] [source_field:NAME1
NAME2] [source_description:名称1＋名称2
(国際バージョン：カナ)]",部品SAP,"ADRC
ADRC","NAME1
NAME2","名称1＋名称2
(国際バージョン：カナ)",RJ071,NTKUKN,得意先名
mapping_D:\antigravity\TIC\EXCEL\091_IFZ9000120(管理番号10126)_インタフェース項目定義書_国内出荷指示送信データ（積送）_R0.81.xlsx_23_backward,[source_system:倉庫システム] [source_table:RJ071] [source_field:NTKUKN] [source_description:得意先名],倉庫システム,RJ071,NTKUKN,得意先名,"ADRC
ADRC","NAME1
NAME2","名称1＋名称2
(国際バージョン：カナ)"
mapping_D:\antigravity\TIC\EXCEL\091_IFZ9000120(管理番号10126)_インタフェース項目定義書_国内出荷指示送信データ（積送）_R0.81.xlsx_24_forward,[source_system:部品SAP] [source_table:MATDOC] [source_field:BLDAT] [source_description:伝票の伝票日付],部品SAP,MATDOC,BLDAT,伝票の伝票日付,RJ071,DDTASSI,データ作成日
mapping_D:\antigravity\TIC\EXCEL\091_IFZ9000120(管理番号10126)_インタフェース項目定義書_国内出荷指示送信データ（積送）_R0.81.xlsx_24_backward,[source_system:倉庫システム] [source_table:RJ071] [source_field:DDTASSI] [source_description:データ作成日],倉庫システム,RJ071,DDTASSI,データ作成日,MATDOC,BLDAT,伝票の伝票日付
mapping_D:\antigravity\TIC\EXCEL\091_IFZ9000120(管理番号10126)_インタフェース項目定義書_国内出荷指示送信データ（積送）_R0.81.xlsx_44_forward,[source_system:部品SAP] [source_table:MATDOC] [source_field:MATNR] [source_description:品目コード],部品SAP,MATDOC,MATNR,品目コード,RJ071,BKSAHIN,検索品番
mapping_D:\antigravity\TIC\EXCEL\091_IFZ9000120(管理番号10126)_インタフェース項目定義書_国内出荷指示送信データ（積送）_R0.81.xlsx_44_backward,[source_system:倉庫システム] [source_table:RJ071] [source_field:BKSAHIN] [source_description:検索品番],倉庫システム,RJ071,BKSAHIN,検索品番,MATDOC,MATNR,品目コード
mapping_D:\antigravity\TIC\EXCEL\091_IFZ9000120(管理番号10126)_インタフェース項目定義書_国内出荷指示送信データ（積送）_R0.81.xlsx_46_forward,[source_system:部品SAP] [source_table:MAKT] [source_field:MAKTX] [source_description:品目テキスト],部品SAP,MAKT,MAKTX,品目テキスト,RJ071,NHINKN,品名
mapping_D:\antigravity\TIC\EXCEL\091_IFZ9000120(管理番号10126)_インタフェース項目定義書_国内出荷指示送信データ（積送）_R0.81.xlsx_46_backward,[source_system:倉庫システム] [source_table:RJ071] [source_field:NHINKN] [source_description:品名],倉庫システム,RJ071,NHINKN,品名,MAKT,MAKTX,品目テキスト
mapping_D:\antigravity\TIC\EXCEL\091_IFZ9000120(管理番号10126)_インタフェース項目定義書_国内出荷指示送信データ（積送）_R0.81.xlsx_55_forward,[source_system:部品SAP] [source_table:MVKE] [source_field:MVGR1] [source_description:品目グループ 1],部品SAP,MVKE,MVGR1,品目グループ 1,RJ071,BKMO,科目
mapping_D:\antigravity\TIC\EXCEL\091_IFZ9000120(管理番号10126)_インタフェース項目定義書_国内出荷指示送信データ（積送）_R0.81.xlsx_55_backward,[source_system:倉庫システム] [source_table:RJ071] [source_field:BKMO] [source_description:科目],倉庫システム,RJ071,BKMO,科目,MVKE,MVGR1,品目グループ 1
mapping_D:\antigravity\TIC\EXCEL\091_IFZ9000120(管理番号10126)_インタフェース項目定義書_国内出荷指示送信データ（積送）_R0.81.xlsx_56_forward,[source_system:部品SAP] [source_table:MARA] [source_field:PRDHA] [source_description:品目階層],部品SAP,MARA,PRDHA,品目階層,RJ071,BSMLKIS,小機種
mapping_D:\antigravity\TIC\EXCEL\091_IFZ9000120(管理番号10126)_インタフェース項目定義書_国内出荷指示送信データ（積送）_R0.81.xlsx_56_backward,[source_system:倉庫システム] [source_table:RJ071] [source_field:BSMLKIS] [source_description:小機種],倉庫システム,RJ071,BSMLKIS,小機種,MARA,PRDHA,品目階層
