id,text,source_system_name,source_table_name,source_field_name,source_field_desc,sap_table_name,sap_field_name,sap_field_desc
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000114(管理番号10113)_インタフェース項目定義書_輸出梱包情報_R0.81.xlsx_24_forward,[source_system:倉庫システム] [source_table:] [source_field:SCTN] [source_description:カートン数],倉庫システム,,SCTN,カートン数,VEKP,INHALT,出荷単位内容のテキスト
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000114(管理番号10113)_インタフェース項目定義書_輸出梱包情報_R0.81.xlsx_24_backward,[source_system:部品SAP] [source_table:VEKP] [source_field:INHALT] [source_description:出荷単位内容のテキスト],部品SAP,VEKP,INHALT,出荷単位内容のテキスト,,SCTN,カートン数
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000115(管理番号10114)_インタフェース項目定義書_輸出出荷連絡データ_R0.81.xlsx_8_forward,[source_system:倉庫システム] [source_table:] [source_field:DSYKDDD] [source_description:出荷日],倉庫システム,,DSYKDDD,出荷日,LIKP,WADAT,計画在庫移動日付
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000115(管理番号10114)_インタフェース項目定義書_輸出出荷連絡データ_R0.81.xlsx_8_backward,[source_system:部品SAP] [source_table:LIKP] [source_field:WADAT] [source_description:計画在庫移動日付],部品SAP,LIKP,WADAT,計画在庫移動日付,,DSYKDDD,出荷日
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000115(管理番号10114)_インタフェース項目定義書_輸出出荷連絡データ_R0.81.xlsx_9_forward,[source_system:倉庫システム] [source_table:] [source_field:BSYR] [source_description:出荷連絡No],倉庫システム,,BSYR,出荷連絡No,LIKP,VBELN,出荷伝票
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000115(管理番号10114)_インタフェース項目定義書_輸出出荷連絡データ_R0.81.xlsx_9_backward,[source_system:部品SAP] [source_table:LIKP] [source_field:VBELN] [source_description:出荷伝票],部品SAP,LIKP,VBELN,出荷伝票,,BSYR,出荷連絡No
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000118(管理番号10107)_インタフェース項目定義書_運賃計上ファイル（WPC)_R0.81.xlsx_7_forward,[source_system:倉庫システム] [source_table:] [source_field:DUNTKJOYMD] [source_description:計上年月日],倉庫システム,,DUNTKJOYMD,計上年月日,VBKD,FKDAT,請求日
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000118(管理番号10107)_インタフェース項目定義書_運賃計上ファイル（WPC)_R0.81.xlsx_7_backward,[source_system:部品SAP] [source_table:VBKD] [source_field:FKDAT] [source_description:請求日],部品SAP,VBKD,FKDAT,請求日,,DUNTKJOYMD,計上年月日
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000118(管理番号10107)_インタフェース項目定義書_運賃計上ファイル（WPC)_R0.81.xlsx_9_forward,[source_system:倉庫システム] [source_table:] [source_field:KTTKUNT] [source_description:立替運賃],倉庫システム,,KTTKUNT,立替運賃,VBAP,NETWR,伝票通貨での受注明細正味額
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000118(管理番号10107)_インタフェース項目定義書_運賃計上ファイル（WPC)_R0.81.xlsx_9_backward,[source_system:部品SAP] [source_table:VBAP] [source_field:NETWR] [source_description:伝票通貨での受注明細正味額],部品SAP,VBAP,NETWR,伝票通貨での受注明細正味額,,KTTKUNT,立替運賃
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000123(管理番号10120)_インタフェース項目定義書_完備品出庫指示送信データ_R0.81.xlsx_10_forward,[source_system:部品SAP] [source_table:EBAN] [source_field:FLIEF] [source_description:固定仕入先],部品SAP,EBAN,FLIEF,固定仕入先,RJ071,BTKU,得意先コード
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000123(管理番号10120)_インタフェース項目定義書_完備品出庫指示送信データ_R0.81.xlsx_10_backward,[source_system:倉庫システム] [source_table:RJ071] [source_field:BTKU] [source_description:得意先コード],倉庫システム,RJ071,BTKU,得意先コード,EBAN,FLIEF,固定仕入先
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000123(管理番号10120)_インタフェース項目定義書_完備品出庫指示送信データ_R0.81.xlsx_22_forward,[source_system:部品SAP] [source_table:AUFK] [source_field:AUFNR] [source_description:指図番号],部品SAP,AUFK,AUFNR,指図番号,RJ071,BODR,オーダー№
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000123(管理番号10120)_インタフェース項目定義書_完備品出庫指示送信データ_R0.81.xlsx_22_backward,[source_system:倉庫システム] [source_table:RJ071] [source_field:BODR] [source_description:オーダー№],倉庫システム,RJ071,BODR,オーダー№,AUFK,AUFNR,指図番号
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000123(管理番号10120)_インタフェース項目定義書_完備品出庫指示送信データ_R0.81.xlsx_23_forward,"[source_system:部品SAP] [source_table:ADRC
ADRC] [source_field:NAME1
NAME2] [source_description:名称1＋名称2
(国際バージョン：カナ)]",部品SAP,"ADRC
ADRC","NAME1
NAME2","名称1＋名称2
(国際バージョン：カナ)",RJ071,NTKUKN,得意先名
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000123(管理番号10120)_インタフェース項目定義書_完備品出庫指示送信データ_R0.81.xlsx_23_backward,[source_system:倉庫システム] [source_table:RJ071] [source_field:NTKUKN] [source_description:得意先名],倉庫システム,RJ071,NTKUKN,得意先名,"ADRC
ADRC","NAME1
NAME2","名称1＋名称2
(国際バージョン：カナ)"
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000123(管理番号10120)_インタフェース項目定義書_完備品出庫指示送信データ_R0.81.xlsx_30_forward,"[source_system:部品SAP] [source_table:EBAN
EBAN
RESB
MAKT
アドオン] [source_field:BANFN
EKGRP
MATNR
MAKTX
A/Cコード] [source_description:購買依頼番号
購買グループ
品目コード
品目テキスト
A/Cコード]",部品SAP,"EBAN
EBAN
RESB
MAKT
アドオン","BANFN
EKGRP
MATNR
MAKTX
A/Cコード","購買依頼番号
購買グループ
品目コード
品目テキスト
A/Cコード",RJ071,XREJ,連絡事項
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000123(管理番号10120)_インタフェース項目定義書_完備品出庫指示送信データ_R0.81.xlsx_30_backward,[source_system:倉庫システム] [source_table:RJ071] [source_field:XREJ] [source_description:連絡事項],倉庫システム,RJ071,XREJ,連絡事項,"EBAN
EBAN
RESB
MAKT
アドオン","BANFN
EKGRP
MATNR
MAKTX
A/Cコード","購買依頼番号
購買グループ
品目コード
品目テキスト
A/Cコード"
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000123(管理番号10120)_インタフェース項目定義書_完備品出庫指示送信データ_R0.81.xlsx_44_forward,[source_system:部品SAP] [source_table:AUFM] [source_field:MATNR] [source_description:品目コード],部品SAP,AUFM,MATNR,品目コード,RJ071,BKSAHIN,検索品番
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000123(管理番号10120)_インタフェース項目定義書_完備品出庫指示送信データ_R0.81.xlsx_44_backward,[source_system:倉庫システム] [source_table:RJ071] [source_field:BKSAHIN] [source_description:検索品番],倉庫システム,RJ071,BKSAHIN,検索品番,AUFM,MATNR,品目コード
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000123(管理番号10120)_インタフェース項目定義書_完備品出庫指示送信データ_R0.81.xlsx_77_forward,[source_system:部品SAP] [source_table:LIKP] [source_field:VBELN] [source_description:出荷伝票],部品SAP,LIKP,VBELN,出荷伝票,RJ071,BSYR,出荷連絡№
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000123(管理番号10120)_インタフェース項目定義書_完備品出庫指示送信データ_R0.81.xlsx_77_backward,[source_system:倉庫システム] [source_table:RJ071] [source_field:BSYR] [source_description:出荷連絡№],倉庫システム,RJ071,BSYR,出荷連絡№,LIKP,VBELN,出荷伝票
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000123(管理番号10120)_インタフェース項目定義書_完備品出庫指示送信データ_R0.81.xlsx_80_forward,[source_system:部品SAP] [source_table:EBAN] [source_field:WERKS] [source_description:プラント],部品SAP,EBAN,WERKS,プラント,RJ071,CHKASOKOYA,引当倉庫・親倉庫
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000123(管理番号10120)_インタフェース項目定義書_完備品出庫指示送信データ_R0.81.xlsx_80_backward,[source_system:倉庫システム] [source_table:RJ071] [source_field:CHKASOKOYA] [source_description:引当倉庫・親倉庫],倉庫システム,RJ071,CHKASOKOYA,引当倉庫・親倉庫,EBAN,WERKS,プラント
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000123(管理番号10120)_インタフェース項目定義書_完備品出庫指示送信データ_R0.81.xlsx_96_forward,[source_system:部品SAP] [source_table:AUFM] [source_field:ZEILE] [source_description:入出庫伝票明細],部品SAP,AUFM,ZEILE,入出庫伝票明細,RJ071,BSYRGYO,出荷ライン№
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000123(管理番号10120)_インタフェース項目定義書_完備品出庫指示送信データ_R0.81.xlsx_96_backward,[source_system:倉庫システム] [source_table:RJ071] [source_field:BSYRGYO] [source_description:出荷ライン№],倉庫システム,RJ071,BSYRGYO,出荷ライン№,AUFM,ZEILE,入出庫伝票明細
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000123(管理番号10120)_インタフェース項目定義書_完備品出庫指示送信データ_R0.81.xlsx_97_forward,[source_system:部品SAP] [source_table:AUFM] [source_field:MENGE] [source_description:数量],部品SAP,AUFM,MENGE,数量,RJ071,SSYJ,出荷指示数
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000123(管理番号10120)_インタフェース項目定義書_完備品出庫指示送信データ_R0.81.xlsx_97_backward,[source_system:倉庫システム] [source_table:RJ071] [source_field:SSYJ] [source_description:出荷指示数],倉庫システム,RJ071,SSYJ,出荷指示数,AUFM,MENGE,数量
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000123(管理番号10120)_インタフェース項目定義書_完備品出庫指示送信データ_R0.81.xlsx_104_forward,[source_system:部品SAP] [source_table:AUFK] [source_field:AUFNR] [source_description:指図番号],部品SAP,AUFK,AUFNR,指図番号,RJ071,BSYUTKUNOS,集約得意先納所
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000123(管理番号10120)_インタフェース項目定義書_完備品出庫指示送信データ_R0.81.xlsx_104_backward,[source_system:倉庫システム] [source_table:RJ071] [source_field:BSYUTKUNOS] [source_description:集約得意先納所],倉庫システム,RJ071,BSYUTKUNOS,集約得意先納所,AUFK,AUFNR,指図番号
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000126(管理番号10111)_インタフェース項目定義書_塗装包装中在庫データ連携(EPC)_R0.81.xlsx_8_forward,[source_system:部品SAP] [source_table:MARD] [source_field:MATNR] [source_description:品目コード],部品SAP,MARD,MATNR,品目コード,RZ019,BHIN,品番
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000126(管理番号10111)_インタフェース項目定義書_塗装包装中在庫データ連携(EPC)_R0.81.xlsx_8_backward,[source_system:倉庫システム] [source_table:RZ019] [source_field:BHIN] [source_description:品番],倉庫システム,RZ019,BHIN,品番,MARD,MATNR,品目コード
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000126(管理番号10111)_インタフェース項目定義書_塗装包装中在庫データ連携(EPC)_R0.81.xlsx_9_forward,[source_system:部品SAP] [source_table:MARD] [source_field:WERKS] [source_description:プラント],部品SAP,MARD,WERKS,プラント,RZ019,CPC,ＰＣコード
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000126(管理番号10111)_インタフェース項目定義書_塗装包装中在庫データ連携(EPC)_R0.81.xlsx_9_backward,[source_system:倉庫システム] [source_table:RZ019] [source_field:CPC] [source_description:ＰＣコード],倉庫システム,RZ019,CPC,ＰＣコード,MARD,WERKS,プラント
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000126(管理番号10111)_インタフェース項目定義書_塗装包装中在庫データ連携(EPC)_R0.81.xlsx_25_forward,[source_system:部品SAP] [source_table:MARD] [source_field:LABST] [source_description:利用可能評価在庫],部品SAP,MARD,LABST,利用可能評価在庫,RZ019,SPACZAI,パッケージ中在庫数
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000126(管理番号10111)_インタフェース項目定義書_塗装包装中在庫データ連携(EPC)_R0.81.xlsx_25_backward,[source_system:倉庫システム] [source_table:RZ019] [source_field:SPACZAI] [source_description:パッケージ中在庫数],倉庫システム,RZ019,SPACZAI,パッケージ中在庫数,MARD,LABST,利用可能評価在庫
